1, Brianna Fuentes,briannafue@protonmail.net,1-812-916-4657,false
2, Ria Barker,riabarker@outlook.ca,1-654-571-4185,true
3, Matthew Simmons,mattsimm@outlook.ca,1-866-558-1248,true
4, Laura Frederick,laurafrederick@icloud.org,1-521-731-6793,false
5, Quinn Baldwin,baldwin77@yahoo.ca,1-524-517-5845,true
6, Candace Tran,candacetran@hotmail.ca,1-371-965-3548,true
7, Hiram Kaufman,rutrum@gmail.com,1-434-367-6875,true
8, Steel Conway,steelcon@protonmail.couk,1-626-576-5962,false
9, Moana Alford,alfordm23u@icloud.ca,1-915-848-8404,true
10, Graham Charles,grahamcharles@aol.com,1-121-162-3157,true

